HomeTeam;AwayTeam;FTR;B365H;B365D;B365A;Div;Date;home_elo;away_elo
Malaga;Valencia;H;2.63;3.2;2.8;SP1;2015-02-02;1758.66748047;1843.81066895
Las Palmas;Malaga;H;2.25;3.39;3.2;SP1;2018-02-05;1562.04125977;1624.73046875
Valencia;Malaga;D;1.75;3.6;5.0;SP1;2016-12-04;1696.06359863;1733.72277832
Espanol;Barcelona;A;15.0;7.5;1.18;SP1;2017-04-29;1723.52844238;2004.1348877
Real Madrid;Levante;H;1.08;12.0;23.0;SP1;2015-10-17;2050.7512207;1665.43530273
Celta;Sevilla;H;3.0;3.25;2.38;SP1;2014-03-29;1675.47277832;1809.38574219
Valencia;Girona;A;1.5;4.0;7.5;SP1;2013-11-03;1769.3536377;1559.16467285
Ath Bilbao;Villarreal;H;2.15;3.3;3.5;SP1;2016-11-20;1788.67553711;1779.34814453
Ath Bilbao;Real Madrid;D;5.25;4.0;1.62;SP1;2014-02-02;1763.01062012;2033.36865234
Atletico;Granada;H;1.22;6.0;15.0;SP1;2016-04-17;2056.89770508;1650.02294922
Sp Gijon;Celta;A;3.1;3.25;2.3;SP1;2016-04-10;1652.37194824;1770.13769531
Ath Bilbao;Malaga;H;1.75;3.6;5.0;SP1;2017-03-05;1732.55200195;1666.7611084
Ath Bilbao;Espanol;D;1.66;3.6;6.0;SP1;2013-03-08;1673.45263672;1702.68261719
Valencia;Sociedad;D;1.83;3.5;4.5;SP1;2013-02-10;1813.9050293;1745.43139648
Eibar;Sociedad;H;2.7;3.25;2.7;SP1;2016-04-16;1681.46533203;1758.31774902
Osasuna;Sevilla;A;6.0;4.33;1.53;SP1;2017-01-22;1567.88916016;1859.35314941
Celta;Ath Bilbao;A;2.38;3.3;2.9;SP1;2015-12-30;1784.92675781;1782.03491211
Real Madrid;Sociedad;H;1.1;10.0;19.0;SP1;2015-12-30;2015.44616699;1702.89831543
Sp Gijon;Sevilla;D;3.8;3.6;1.95;SP1;2016-10-29;1671.17749023;1845.62329102
Espanol;Villarreal;D;2.88;3.1;2.63;SP1;2016-10-02;1683.52685547;1804.69177246
Real Madrid;Sevilla;H;1.18;7.0;13.0;SP1;2013-10-30;2023.04016113;1748.97680664
Girona;Eibar;A;2.1;3.2;3.8;SP1;2013-10-06;1565.41699219;1467.81738281
Leganes;Atletico;D;8.5;3.6;1.53;SP1;2016-08-27;1652.59338379;2073.35180664
Barcelona;Sevilla;H;1.2;7.0;11.0;SP1;2014-11-22;1996.61999512;1828.9342041
Celta;Real Madrid;D;6.5;4.33;1.5;SP1;2018-01-07;1702.25524902;2006.65551758
Getafe;Sevilla;H;1.85;3.6;4.0;SP1;2014-05-11;1692.52526855;1847.58605957
Leganes;Espanol;H;2.37;2.79;3.5;SP1;2018-01-28;1652.10058594;1683.21105957
Las Palmas;Granada;H;1.91;3.4;4.33;SP1;2016-08-28;1714.88415527;1683.44934082
Sevilla;Espanol;H;1.75;3.6;4.5;SP1;2013-11-11;1743.24133301;1683.37512207
Granada;Valencia;A;2.88;3.2;2.55;SP1;2016-02-21;1625.0645752;1781.25378418
Eibar;Levante;D;1.8;3.4;4.75;SP1;2014-10-04;1635.53869629;1696.24804688
Sevilla;Vallecano;H;1.44;4.75;7.0;SP1;2015-09-26;1865.73791504;1696.28649902
Las Palmas;Real Madrid;A;9.5;5.25;1.33;SP1;2016-03-13;1679.10681152;2026.29418945
Real Madrid;Sociedad;H;1.18;7.0;17.0;SP1;2015-01-31;2076.74267578;1735.7097168
Betis;Celta;H;2.2;3.4;3.4;SP1;2017-08-25;1644.85144043;1695.3223877
Elche;Almeria;H;2.0;3.4;3.75;SP1;2014-02-02;1618.54150391;1646.3536377
Atletico;Villarreal;D;1.53;3.8;7.5;SP1;2016-02-21;2029.68115234;1824.16162109
Eibar;Girona;H;2.0;3.39;3.75;SP1;2017-12-21;1691.83569336;1646.8338623
Getafe;Celta;H;1.9;3.4;4.33;SP1;2013-02-09;1703.15686035;1677.78198242
Getafe;Eibar;D;2.1;3.25;3.75;SP1;2016-03-18;1637.16381836;1685.23620605
Getafe;Sevilla;H;3.1;3.4;2.3;SP1;2013-04-21;1730.36413574;1743.32678223
Villarreal;Elche;D;1.44;4.33;7.0;SP1;2014-03-30;1749.11767578;1639.38061523
Getafe;Barcelona;A;10.0;5.75;1.29;SP1;2015-10-31;1658.57727051;2054.40942383
Eibar;Real Madrid;H;6.0;4.33;1.53;SP1;2013-11-24;1512.87597656;2034.03625488
Sevilla;Valencia;D;2.05;3.5;3.5;SP1;2014-08-23;1844.28479004;1802.4987793
Villarreal;Granada;H;1.36;4.75;9.5;SP1;2017-01-28;1758.82458496;1608.43383789
Girona;Villarreal;A;2.5;3.25;2.8;SP1;2013-04-14;1605.49157715;1677.23486328
Getafe;Atletico;A;8.5;4.0;1.44;SP1;2014-04-13;1666.29882812;2061.37011719
Granada;Levante;H;1.95;3.5;3.8;SP1;2016-04-21;1648.03930664;1650.08581543
Valencia;Villarreal;H;1.83;3.6;4.5;SP1;2013-01-26;1794.51940918;1639.16540527
Atletico;Ath Bilbao;H;1.57;3.75;7.0;SP1;2015-12-13;2025.55078125;1780.52124023
Valencia;Vallecano;D;1.62;4.0;5.5;SP1;2016-01-17;1784.70239258;1632.06640625
Barcelona;Sevilla;H;1.18;7.0;15.0;SP1;2013-09-14;2053.83422852;1728.50646973
Ath Bilbao;Eibar;D;1.53;3.75;7.0;SP1;2014-09-27;1810.6817627;1635.94213867
Alaves;Las Palmas;D;2.5;3.2;3.0;SP1;2016-12-04;1636.44702148;1702.73937988
Eibar;Atletico;A;6.5;3.8;1.57;SP1;2015-01-31;1672.56066895;2076.74267578
Betis;Real Madrid;A;8.5;6.0;1.29;SP1;2014-01-18;1634.79418945;2028.20812988
Eibar;Leganes;H;2.1;3.3;3.75;SP1;2017-04-30;1721.23205566;1610.73132324
Eibar;Vallecano;A;2.5;3.3;2.9;SP1;2015-04-03;1633.12451172;1689.38024902
Leganes;Sociedad;H;2.89;3.25;2.5;SP1;2018-01-07;1647.91601562;1722.81591797
Granada;Valencia;D;3.9;3.4;2.0;SP1;2014-12-07;1643.06518555;1807.75915527
Las Palmas;Ath Bilbao;D;4.0;3.6;1.91;SP1;2016-05-08;1710.06738281;1835.45324707
Betis;Granada;D;1.67;3.6;5.5;SP1;2013-09-22;1733.99523926;1661.45446777
Ath Bilbao;Valladolid;D;1.75;3.4;5.0;SP1;2013-12-22;1735.42150879;1661.3795166
Girona;Levante;D;1.57;3.79;6.0;SP1;2018-03-31;1698.5847168;1624.82104492
Levante;Vallecano;H;1.95;3.8;3.6;SP1;2013-05-04;1675.79858398;1675.65820312
Elche;Getafe;H;2.15;3.2;3.5;SP1;2014-04-06;1639.02990723;1658.72595215
Sociedad;Barcelona;H;9.0;5.25;1.33;SP1;2015-01-04;1730.18688965;2015.5279541
Valladolid;Sociedad;D;2.6;3.0;3.0;SP1;2013-03-31;1708.37475586;1780.04907227
Real Madrid;Eibar;H;1.09;11.0;23.0;SP1;2017-10-22;2048.5637207;1662.53027344
Espanol;Getafe;D;2.4;3.1;3.2;SP1;2013-04-02;1717.0435791;1737.95446777
Atletico;Girona;H;1.36;4.5;10.0;SP1;2013-04-02;2035.87414551;1592.29162598
Villarreal;Real Madrid;D;3.1;4.1;2.1;SP1;2018-05-19;1751.86291504;2015.58764648
Las Palmas;Sevilla;A;3.5;3.6;2.04;SP1;2018-02-17;1577.62194824;1747.80627441
Vallecano;Villarreal;H;2.6;3.3;2.75;SP1;2016-04-17;1685.1015625;1865.31726074
Celta;Sociedad;D;4.75;3.75;1.75;SP1;2017-05-21;1698.0814209;1763.27954102
Celta;Alaves;A;1.66;4.0;5.0;SP1;2013-10-19;1639.3125;1494.95129395
Barcelona;Espanol;H;1.04;17.0;41.0;SP1;2016-05-08;2051.7409668;1688.08654785
Sociedad;Atletico;A;4.0;3.25;2.05;SP1;2013-03-03;1755.52758789;2020.88952637
Malaga;Villarreal;A;2.3;3.1;3.3;SP1;2016-09-10;1742.75024414;1778.46496582
Atletico;Real Madrid;A;2.37;3.25;3.1;SP1;2013-02-09;2021.55224609;2021.55224609
Atletico;Valencia;H;1.8;3.4;5.0;SP1;2013-04-24;2037.98486328;1812.10839844
Levante;Villarreal;A;3.5;3.3;2.1;SP1;2013-11-24;1698.70385742;1738.93249512
Sociedad;Barcelona;A;7.0;5.25;1.4;SP1;2013-09-15;1813.2467041;2054.89111328
Granada;Celta;A;2.8;3.3;2.45;SP1;2017-04-16;1589.06738281;1742.47937012
Real Madrid;Barcelona;A;2.75;3.7;2.45;SP1;2013-03-02;2014.43859863;2057.96655273
Getafe;Granada;A;2.05;3.2;4.0;SP1;2015-08-30;1651.0736084;1653.76281738
Malaga;Almeria;H;1.67;3.75;5.0;SP1;2013-09-24;1764.7878418;1644.18432617
Valencia;Sevilla;D;2.55;3.2;2.75;SP1;2017-04-16;1718.41027832;1817.77246094
Barcelona;Celta;D;1.12;10.0;17.0;SP1;2017-12-02;2034.3026123;1702.94458008
Ath Bilbao;Barcelona;D;4.75;4.0;1.7;SP1;2013-02-10;1704.63024902;2074.04931641
Villarreal;Valencia;H;1.95;3.5;3.8;SP1;2013-10-27;1729.62768555;1795.79907227
Atletico;Barcelona;A;3.3;3.2;2.3;SP1;2015-09-12;2057.40209961;2091.27978516
Elche;Vallecano;H;2.38;3.2;3.0;SP1;2014-01-18;1616.23254395;1613.93493652
Sociedad;Valencia;A;2.2;3.4;3.2;SP1;2013-09-29;1781.15087891;1790.18835449
Valencia;Ath Bilbao;H;1.91;3.5;4.2;SP1;2017-10-01;1745.98779297;1759.29980469
Getafe;Valladolid;D;1.9;3.2;4.75;SP1;2013-08-31;1671.39526367;1652.45715332
Real Madrid;Sociedad;H;1.25;6.5;10.0;SP1;2017-01-29;2039.82397461;1771.97265625
Ath Bilbao;Leganes;H;1.9;3.29;4.5;SP1;2018-03-11;1718.5949707;1636.5871582
Levante;Real Madrid;A;13.0;7.5;1.17;SP1;2014-10-18;1696.53381348;2046.41296387
Getafe;Vallecano;A;2.25;3.4;3.2;SP1;2015-01-04;1685.72058105;1668.33325195
Vallecano;Espanol;A;2.4;3.3;2.88;SP1;2013-11-24;1654.40002441;1683.37512207
Sociedad;Leganes;H;1.44;4.2;8.5;SP1;2018-05-12;1722.65222168;1623.42578125
Alaves;Espanol;A;2.5;3.1;3.1;SP1;2016-11-20;1630.32165527;1681.04797363
Espanol;Cordoba;H;1.57;3.8;6.5;SP1;2015-02-27;1702.78808594;1594.69091797
Sevilla;Real Madrid;H;3.6;3.8;1.95;SP1;2017-01-15;1848.80078125;2049.41308594
Eibar;Villarreal;D;3.4;3.0;2.3;SP1;2014-09-24;1633.47155762;1788.57006836
Betis;Vallecano;D;2.2;3.3;3.4;SP1;2016-02-27;1681.53662109;1681.66711426
Osasuna;Granada;A;2.0;3.3;3.75;SP1;2013-08-18;1679.30664062;1658.95959473
Getafe;Valencia;A;2.6;3.2;2.75;SP1;2013-11-03;1720.58459473;1769.3536377
Betis;Villarreal;H;2.79;3.39;2.5;SP1;2018-02-03;1647.80541992;1776.85083008
Valencia;Granada;H;1.5;4.1;6.5;SP1;2014-02-23;1790.39221191;1657.03649902
Celta;Sevilla;A;2.75;3.3;2.63;SP1;2016-12-11;1744.41943359;1809.93457031
Atletico;Valencia;H;1.33;4.75;10.0;SP1;2013-12-15;2021.05175781;1767.33312988
Espanol;Vallecano;H;1.8;3.6;4.5;SP1;2013-02-09;1685.99157715;1694.26818848
Real Madrid;Valencia;H;1.2;7.5;11.0;SP1;2016-05-08;2069.79345703;1768.9140625
Villarreal;Barcelona;D;8.5;5.25;1.33;SP1;2016-03-20;1836.703125;2096.6887207
Granada;Betis;D;2.3;3.25;3.25;SP1;2015-10-24;1631.05603027;1697.48706055
Valencia;Malaga;H;1.53;4.0;6.0;SP1;2013-08-17;1818.0357666;1758.10339355
Sociedad;Atletico;A;4.0;3.2;2.05;SP1;2015-10-18;1720.06494141;2052.21630859
Villarreal;Vallecano;H;1.6;4.2;5.5;SP1;2013-03-17;1662.80480957;1700.99853516
Cordoba;Elche;A;2.3;3.1;3.3;SP1;2015-04-12;1575.89624023;1643.24987793
Celta;Sociedad;D;2.2;3.3;3.3;SP1;2014-09-13;1748.16088867;1782.98583984
Ath Bilbao;Betis;H;2.25;3.29;3.29;SP1;2018-05-05;1703.42004395;1739.07531738
Ath Bilbao;Granada;H;1.44;4.5;7.5;SP1;2017-02-26;1731.52636719;1606.78442383
Betis;Celta;D;3.3;3.5;2.15;SP1;2015-12-05;1694.0994873;1777.10961914
Malaga;Granada;H;2.05;3.3;3.6;SP1;2014-04-06;1723.32531738;1657.68664551
Celta;Malaga;H;1.85;3.6;4.33;SP1;2017-01-08;1724.97192383;1722.16320801
Espanol;Getafe;H;1.91;3.4;4.33;SP1;2015-08-22;1741.16625977;1654.51208496
Real Madrid;Eibar;D;1.08;11.0;26.0;SP1;2016-10-02;2062.31884766;1680.70568848
Levante;Ath Bilbao;A;3.9;3.4;1.95;SP1;2014-04-07;1703.94165039;1782.50109863
Espanol;Atletico;H;5.25;3.6;1.67;SP1;2013-10-19;1695.95947266;2022.96728516
Ath Bilbao;Villarreal;H;1.67;4.0;5.0;SP1;2015-05-23;1785.73461914;1784.51965332
Valencia;Sociedad;A;2.6;3.4;2.7;SP1;2017-04-26;1711.79870605;1753.76013184
Las Palmas;Alaves;A;3.1;3.2;2.39;SP1;2018-04-22;1555.43359375;1666.08972168
Levante;Barcelona;A;15.0;7.5;1.18;SP1;2014-09-21;1714.88867188;2025.28942871
Valencia;Getafe;D;2.0;3.3;4.0;SP1;2013-03-17;1800.95080566;1735.39099121
Osasuna;Vallecano;H;2.1;3.3;3.5;SP1;2013-10-30;1655.7479248;1646.72631836
Barcelona;Villarreal;H;1.3;5.5;10.0;SP1;2015-11-08;2050.01733398;1787.97680664
Celta;Malaga;H;1.73;3.75;5.0;SP1;2015-04-29;1747.10192871;1734.49414062
Atletico;Ath Bilbao;H;1.3;5.0;11.0;SP1;2013-11-03;2027.66833496;1715.07873535
Getafe;Sevilla;A;3.6;3.3;2.15;SP1;2017-08-27;1658.86071777;1814.35925293
Betis;Levante;D;1.8;3.5;4.5;SP1;2013-10-31;1703.2623291;1712.125
Valencia;Sociedad;A;1.73;3.5;5.0;SP1;2013-10-19;1801.87841797;1771.92163086
Espanol;Girona;A;1.66;3.6;5.75;SP1;2013-11-25;1699.39904785;1553.78417969
